Frequency,Time,Action
1.24E-01,1,Exploitation
1.24E-01,2,Exploitation
1.82E-01,3,Exploitation
2.20E-01,4,Exploitation
2.30E-01,5,Exploitation
2.40E-01,6,Exploitation
2.58E-01,7,Exploitation
2.36E-01,8,Exploitation
2.44E-01,9,Exploitation
2.72E-01,10,Exploitation
2.80E-01,11,Exploitation
2.66E-01,12,Exploitation
2.76E-01,13,Exploitation
2.98E-01,14,Exploitation
2.96E-01,15,Exploitation
2.58E-01,16,Exploitation
2.34E-01,17,Exploitation
2.58E-01,18,Exploitation
2.40E-01,19,Exploitation
2.30E-01,20,Exploitation
1.96E-01,21,Exploitation
2.12E-01,22,Exploitation
1.94E-01,23,Exploitation
2.02E-01,24,Exploitation
1.96E-01,25,Exploitation
2.02E-01,26,Exploitation
1.82E-01,27,Exploitation
2.32E-01,28,Exploitation
2.10E-01,29,Exploitation
1.94E-01,30,Exploitation
2.08E-01,31,Exploitation
8.50E-01,1,Lone foraging
8.50E-01,2,Lone foraging
7.96E-01,3,Lone foraging
7.80E-01,4,Lone foraging
7.70E-01,5,Lone foraging
7.60E-01,6,Lone foraging
7.42E-01,7,Lone foraging
7.64E-01,8,Lone foraging
7.56E-01,9,Lone foraging
7.28E-01,10,Lone foraging
7.20E-01,11,Lone foraging
7.34E-01,12,Lone foraging
7.24E-01,13,Lone foraging
7.02E-01,14,Lone foraging
7.04E-01,15,Lone foraging
7.42E-01,16,Lone foraging
7.66E-01,17,Lone foraging
7.40E-01,18,Lone foraging
7.60E-01,19,Lone foraging
7.70E-01,20,Lone foraging
8.04E-01,21,Lone foraging
7.88E-01,22,Lone foraging
8.06E-01,23,Lone foraging
7.98E-01,24,Lone foraging
8.02E-01,25,Lone foraging
7.96E-01,26,Lone foraging
8.18E-01,27,Lone foraging
7.66E-01,28,Lone foraging
7.90E-01,29,Lone foraging
8.06E-01,30,Lone foraging
7.92E-01,31,Lone foraging
2.60E-02,1,Cooperation
2.60E-02,2,Cooperation
2.20E-02,3,Cooperation
0.00E+00,4,Cooperation
0.00E+00,5,Cooperation
0.00E+00,6,Cooperation
0.00E+00,7,Cooperation
0.00E+00,8,Cooperation
0.00E+00,9,Cooperation
0.00E+00,10,Cooperation
0.00E+00,11,Cooperation
0.00E+00,12,Cooperation
0.00E+00,13,Cooperation
0.00E+00,14,Cooperation
0.00E+00,15,Cooperation
0.00E+00,16,Cooperation
0.00E+00,17,Cooperation
2.00E-03,18,Cooperation
0.00E+00,19,Cooperation
0.00E+00,20,Cooperation
0.00E+00,21,Cooperation
0.00E+00,22,Cooperation
0.00E+00,23,Cooperation
0.00E+00,24,Cooperation
2.00E-03,25,Cooperation
2.00E-03,26,Cooperation
0.00E+00,27,Cooperation
2.00E-03,28,Cooperation
0.00E+00,29,Cooperation
0.00E+00,30,Cooperation
0.00E+00,31,Cooperation
