Freq,Time,Action
2.72E-01,1,Cooperation
2.72E-01,2,Cooperation
4.62E-01,3,Cooperation
7.14E-01,4,Cooperation
8.00E-01,5,Cooperation
9.56E-01,6,Cooperation
9.64E-01,7,Cooperation
9.70E-01,8,Cooperation
9.78E-01,9,Cooperation
9.90E-01,10,Cooperation
9.96E-01,11,Cooperation
9.92E-01,12,Cooperation
1.00E+00,13,Cooperation
1.00E+00,14,Cooperation
1.00E+00,15,Cooperation
1.00E+00,16,Cooperation
1.00E+00,17,Cooperation
1.00E+00,18,Cooperation
1.00E+00,19,Cooperation
1.00E+00,20,Cooperation
1.00E+00,21,Cooperation
1.00E+00,22,Cooperation
1.00E+00,23,Cooperation
1.00E+00,24,Cooperation
1.00E+00,25,Cooperation
1.00E+00,26,Cooperation
1.00E+00,27,Cooperation
1.00E+00,28,Cooperation
1.00E+00,29,Cooperation
1.00E+00,30,Cooperation
1.00E+00,31,Cooperation
6.40E-02,1,Exploitation
6.40E-02,2,Exploitation
5.20E-02,3,Exploitation
6.00E-02,4,Exploitation
3.20E-02,5,Exploitation
2.60E-02,6,Exploitation
3.00E-02,7,Exploitation
2.20E-02,8,Exploitation
1.60E-02,9,Exploitation
1.00E-02,10,Exploitation
4.00E-03,11,Exploitation
8.00E-03,12,Exploitation
0.00E+00,13,Exploitation
0.00E+00,14,Exploitation
0.00E+00,15,Exploitation
0.00E+00,16,Exploitation
0.00E+00,17,Exploitation
0.00E+00,18,Exploitation
0.00E+00,19,Exploitation
0.00E+00,20,Exploitation
0.00E+00,21,Exploitation
0.00E+00,22,Exploitation
0.00E+00,23,Exploitation
0.00E+00,24,Exploitation
0.00E+00,25,Exploitation
0.00E+00,26,Exploitation
0.00E+00,27,Exploitation
0.00E+00,28,Exploitation
0.00E+00,29,Exploitation
0.00E+00,30,Exploitation
0.00E+00,31,Exploitation
6.64E-01,1,Lone foraging
6.64E-01,2,Lone foraging
4.86E-01,3,Lone foraging
2.26E-01,4,Lone foraging
1.68E-01,5,Lone foraging
1.80E-02,6,Lone foraging
6.00E-03,7,Lone foraging
8.00E-03,8,Lone foraging
6.00E-03,9,Lone foraging
0.00E+00,10,Lone foraging
0.00E+00,11,Lone foraging
0.00E+00,12,Lone foraging
0.00E+00,13,Lone foraging
0.00E+00,14,Lone foraging
0.00E+00,15,Lone foraging
0.00E+00,16,Lone foraging
0.00E+00,17,Lone foraging
0.00E+00,18,Lone foraging
0.00E+00,19,Lone foraging
0.00E+00,20,Lone foraging
0.00E+00,21,Lone foraging
0.00E+00,22,Lone foraging
0.00E+00,23,Lone foraging
0.00E+00,24,Lone foraging
0.00E+00,25,Lone foraging
0.00E+00,26,Lone foraging
0.00E+00,27,Lone foraging
0.00E+00,28,Lone foraging
0.00E+00,29,Lone foraging
0.00E+00,30,Lone foraging
0.00E+00,31,Lone foraging
